book_title,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
"Стек, или Путешествие туда и обратно",Вторников Алексей Анатольевич,ДМК-Пресс,350,660,На складе,47
Программирование на Visual Basic для начинающих,МакГрат Майк,Эксмо-Пресс:Программирование для начинающих (обложка),630,863,На складе,27
Реактивное программирование с использованием RxJava,"Нуркевич Томаш, Кристенсен Бен",ДМК-Пресс,1162,2192,На складе,47
Изучаем PHP 7. Руководство по созданию интерактивных веб-сайтов,Скляр Дэвид,Диалектика,2981,5625,Ограничено,47
Не заставляйте меня думать,Круг Стив,Эксмо-Пресс:Мировой компьютерный бестселлер,856,1172,На складе,27
Go на практике,"Батчер Мэтт, Фарина Мэтт",ДМК-Пресс,1094,2064,На складе,47
Использование Docker,Моуэт Эдриен,ДМК-Пресс,1447,2730,На складе,47
Методы разработки математических моделей и вычислительный эксперимент на базе пакета MATLAB,Плохотников Константин Эдуардович,Солон-пресс,1277,2409,На складе,47
"Гибкая разработка программ на Java и C++. Принципы, паттерны и методики",Мартин Роберт С.,Диалектика,5851,11040,Ограничено,47
Цифровая обработка сигналов на языке Python,Дауни Аллен Б.,ДМК-Пресс,549,1035,На складе,47
Эффективная работа с унаследованным кодом,Физерс Майкл К.,Вильямс: ,3776,7125,На складе,47
"Непрерывное развертывание ПО. Автоматизация процессов сборки, тестирования и внедрения новых версий","Хамбл Джез, Фарли Дейвид",Вильямс,4472,8438,Ограничено,47
Программирование на C++ в примерах и задачах,Васильев Алексей Николаевич,Эксмо-Пресс:Российский компьютерный бестселлер,760,1041,На складе,27
Cassandra. Полное руководство,"Карпентер Джефф, Хьюитт Эбен",ДМК-Пресс,1025,1934,На складе,47
Изучаем Angular 2,Дилеман Пабло,ДМК-Пресс,957,1806,На складе,47
Разработка обслуживаемых программ на языке C#,Виссер Джуст,ДМК-Пресс,615,1161,Ограничено,47
10 практических устройств на AVR-микроконтроллерах. Книга 1 (+CD),Кравченко Алексей Владимирович,Корона-Принт,345,650,На складе,47
XBRL для чайников,"Хоффман Чарльз, Уотсон Лив","Диалектика:Для ""чайников""",2107,3976,Ограничено,47
Разработка геоприложений на языке Python,Вестра Эрик,ДМК-Пресс,1162,2192,На складе,47
Инженерия требований,Халл Элизабет и др.,ДМК-Пресс,957,1806,На складе,47
Программирование PIC - микроконтроллеров на PicBasic,Хелибайк Чак,Додека XXI век:Программируемые системы,615,1161,На складе,47
Введение в современные САПР. Курс лекций,Малюх Владимир Николаевич,ДМК-Пресс:САПР от А до Я,483,911,На складе,47
Функциональное программирование на F#,Сошников Дмитрий Валерьевич,ДМК-Пресс,483,911,На складе,47
Программируем микрокомпьютер NXT в LabVIEW,"Белиовская Лидия Георгиевна, Белиовский Александр Евгеньевич",ДМК-Пресс:Все о LabVIEW,483,911,На складе,47
Dart в действии,Баккет Крис,ДМК-Пресс,1094,2064,Ограничено,47
MATLAB. Полный самоучитель,Дьяконов Владимир Павлович,ДМК-Пресс,1367,2580,На складе,47
С для программистов с введением в С11,"Дейтел Харви, Дейтел Пол Дж.",ДМК-Пресс,1025,1934,Ограничено,47
Параллельное и конкурентное программирование на Haskell,Марлоу Саймон,ДМК-Пресс:Функциональное программирование,1094,2064,На складе,47
Практическое использование Common Lisp,Сайбель Питер,ДМК-Пресс:Функциональное программирование,1230,2321,На складе,47
Веб-разработка. Исчерпывающее руководство,Макдональд Мэтью,Питер:Бестселлеры O`Reilly,1618,2074,Ограничено,22
Сбор данных в Интернете на языке R,Храмов Дмитрий Александрович,ДМК-Пресс,887,1674,На складе,47
Unity 5.x. Программирование искусственного интеллекта в играх,Паласиос Хорхе,ДМК-Пресс,957,1806,На складе,47
Программирование микроконтроллеров. Стратегия и тактика,Матюшин Андрей Олегович,ДМК-Пресс,1094,2064,На складе,47
Ruby on Rails для начинающих. Изучаем разработку веб-приложений на основе Rails,Хартл Майкл,ДМК-Пресс,1504,2837,На складе,47
Программирование и отладка С/С++ приложений для микроконтроллеров ARM,Магда Юрий Степанович,ДМК-Пресс,483,911,На складе,47
Эффективное использование С++. 55 верных способов улучшить структуру и код ваших программ,Мэйерс Скотт,ДМК-Пресс:Профессиональная серия от Addison-Wesley,683,1289,На складе,47
Лямбда-выражения в Java 8. Функциональное программирование - в массы,Уорбэртон Ричард,ДМК-Пресс:Функциональное программирование,549,1035,На складе,47
