book_title,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
Статистический анализ и визуализация данных с помощью R,"Мастицкий Сергей Эдуардович, Шитиков Владимир",ДМК-Пресс,1094,2064,На складе,47
LLVM. Инфраструктура для разработки компиляторов,"Кардос Лопес Бруно, Аулер Рафаэль",ДМК-Пресс,887,1674,На складе,47
OpenGL ES 3.0. Руководство разработчика,"Гинсбург Дэн, Пурномо Будирижанто",ДМК-Пресс,1230,2321,На складе,47
Современный Фортран на практике,Маркус Арьен,ДМК-Пресс,820,1547,Ограничено,47
Elastix - общайтесь свободно!,Юров Владислав,Эком,829,1565,Ограничено,47
Постреляционная СУБД Cache 5. Объектно-ориентированная разработка приложений (+CD),Кирстен Вольфганг и др.,Бином,443,836,На складе,47
Квантовые вычисления и функциональное программирование,Душкин Роман Викторович,ДМК-Пресс,483,911,На складе,47
Создание облачных и мобильных приложений на языке F#,Мол Дэниел,ДМК-Пресс:Функциональное программирование,549,1035,На складе,47
"Проектирование на ПЛИС. Архитектура, средства и методы. Курс молодого бойца",Максфилд Клайв,ДМК-Пресс:Программируемые системы,820,1547,На складе,47
Программирование микроконтроллеров ATMEL на языке C (+CD),Прокопенко Вадим Сергеевич,Корона-Принт,720,1358,На складе,47
Семь моделей конкуренции и параллелизма за семь недель,Батчер Пол,ДМК-Пресс,957,1806,На складе,47
Адаптивные и инвариантные алгоритмы обнаружения объектов на изображениях и их моделирование в Matla,Волков Владимир Юрьевич,Лань,838,1582,На складе,47
Дневник охотника за ошибками. Путешествие через джунгли проблем безопасности программного обеспеч.,Клейн Тобиас,ДМК-Пресс,683,1289,На складе,47
Введение в UML от создателей языка,Рамбо Джеймс и др.,ДМК-Пресс:Классика программирования,820,1547,На складе,47
Технологии программирования на Java 2. Распределенные приложения,Дейтел Харви и др.,Бином,553,1044,На складе,47
Silverlight 4. Создание насыщенных Web-приложений,Байдачный Сергей Сергеевич,Солон-пресс:Библиотека профессионала,369,697,На складе,47
EJB 3 в действии,Панда Дебу и др.,ДМК-Пресс:Программирование в действии,1367,2580,На складе,47
Программирование на Java,"Нимейер Патрик, Леук Дэниэл",Эксмо:Мировой компьютерный бестселлер,1935,2650,Ограничено,27
Жемчужины проектирования алгоритмов. Функциональный подход. С примерами на языке Haskell,Бёрд Ричард,ДМК-Пресс,820,1547,На складе,47
Асинхронное программирование в C# 5.0,Дэвис Алекс,ДМК-Пресс,350,660,На складе,47
"Программирование в Delphi для Windows: Версии 2006, 2007, Turbo Delphi (+СD)",Архангельский Алексей Яковлевич,Бином: ,1109,2092,На складе,47
Практика программирования на языке Паскаль. Задачи и решения,Медведик Владимир Иванович,ДМК-Пресс,957,1806,На складе,47
Методы обработки и распознавания изображений лиц в задачах биометрии,Кухарев Георгий Александрович и др.,Политехника,642,1212,На складе,47
Эффективные технологии создания информационных систем,"Мещеряков Сергей Владимирович, Иванов Владимир Михайлович",Политехника,359,677,На складе,47
Введение в теорию языков программирования,"Довек Жиль, Леви Жан-Жак",ДМК-Пресс,415,783,Ограничено,47
Spring в действии,Уоллс Крейг,ДМК-Пресс:Программирование в действии,1367,2580,На складе,47
Программирование на языке OCaml,Мински Ярон и др.,ДМК-Пресс:Функциональное программирование,1367,2580,На складе,47
CUDA Fortran для инженеров и научных работников. Рекомендации по эффективному программированию,"Рутш Грегори, Фатика Массимилиано",ДМК-Пресс,820,1547,На складе,47
Платформа Windows Azure,"Редкар Теджасви, Тони Гвидичи",ДМК-Пресс,1094,2064,Ограничено,47
"За пределами ""Linux с нуля"". Версия 7.4. Том 2",,ДМК-Пресс,1094,2064,На складе,47
Расширение библиотеки jQuery,Вуд Кит,ДМК-Пресс,713,1345,Ограничено,47
.NET Сетевое программирование,Кумар Винод и др.,Лори,832,1570,На складе,47
Java. Эффективное программирование,Блох Джошуа,Лори,880,1661,На складе,47
Разработка веб-приложений с использованием AngularJS,"Козловский Павел, Бэкон Дарвин Питер",ДМК-Пресс,887,1674,На складе,47
Zend Framework 2.0 разработка веб-приложений,Шасанкар Кришна,Питер:Библиотека программиста,468,600,Ограничено,22
Основы теории вейвлетов. Вейвлеты в MATLAB,Смоленцев Николай Константинович,ДМК-Пресс:Математика и Matlab,927,1749,Ограничено,47
Программирование для школьников и студентов. Учебное пособие,"Колесов Вадим Владимирович, Романов Максим Николаевич",Феникс:Абитуриент,202,259,На складе,22
"Принципы построения, применения и проектирования компьютерной платформы U-SYS","Росляков Александр Владимирович, Крылов Павел Сергеевич",Солон-пресс:Библиотека студента,241,455,На складе,47
Разработка приложений Java EE 6 в NetBeans 7,Хеффельфингер Дэвид,ДМК-Пресс,820,1547,Ограничено,47
Курс практического программирования в Delphi. Объектно – ориентированное программирование. Практикум,Санников Е. В.,Солон-пресс:Элективный курс. Профильное обучение,574,1083,На складе,47
Оптимизация производительности приложений для iOS. Для профессионалов,Во Ханг,ДМК-Пресс,654,1234,Ограничено,47
Сети 6G. Путь от 5G к 6G глазами разработчиков,Тонг Вэнь и др.,ДМК-Пресс,2734,5159,На складе,47
Статистические вычисления на платформе Jupyter Notebook с использованием Python. Учебник,Криволапов Сергей Яковлевич,Кнорус:Бакалавриат и магистратура,1250,2359,Ограничено,47
Корпоративные информационные системы на базе решения Oracle E-Business Suite. Калькуляция затрат,"Васильева Елена Викторовна, Громова Алла Александровна",Прометей,552,1042,На складе,47
Проектирование цифровых образовательных ресурсов,Коннова Лариса Петровна и др.,Прометей,1030,1944,На складе,47
Классические задачи Computer Science на языке Java,Копец Дэвид,Питер:Библиотека программиста,1415,1814,На складе,22
Информационное моделирование: методолгия использования цифровых моделей. Часть 1,Бачурина Светлана Самуиловна,ДМК-Пресс,683,1289,На складе,47
Head First. Паттерны проектирования,Фримен Эрик и др.,Питер:Head First (O'Reilly),1895,2430,На складе,22
Web-программирование на JavaScript. Учебное пособие для СПО,Диков Андрей Валентинович,Лань:Компьютеры и программное обеспечение,971,1833,Ограничено,47
Автоматизация рутинных задач с помощью Python,Свейгарт Эл,Диалектика,2749,5186,На складе,47
JavaScript. Дополнительные уроки для начинающих,Дронов Валерий Александрович,BHV:Для Начинающих,603,1137,Ограничено,47
Алгоритмы. Теория и практическое применение,Стивенс Род,Эксмо:Мировой компьютерный бестселлер,1167,1599,На складе,27
Апокалипсис криптографии. Подготовка криптографии к квантовым вычислениям,Граймс Роджер А.,ДМК-Пресс,1230,2321,На складе,47
"{Вы пока еще не знаете JS} Познакомьтесь, JavaScript",Симпсон Кайл,Питер:Библиотека программиста,1027,1317,На складе,22
{Вы пока еще не знаете JS}. Область видимости и замыкания,Симпсон Кайл,Питер:Библиотека программиста,1092,1400,На складе,22
Паттерны программирования игр,Нистрем Роберт,Бомбора:Мировой компьютерный бестселлер,1472,2016,На складе,27
Эффективный C. Профессиональное программирование,Сикорд Роберт С.,Питер:Библиотека программиста,1701,2181,На складе,22
React. Современные шаблоны для разработки приложений,"Бэнкс Алекс, Порселло Ева",Питер:Бестселлеры O`Reilly,1780,2282,На складе,22
JavaScript. Обработка событий на примерах. Учебное пособие,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,1481,2794,На складе,47
ASP.NET CORE в действии,Лок Эндрю,ДМК-Пресс,2803,5289,На складе,47
Анализируем данные в Microsoft Power BI. Подготовка к экзамену DA-100,Маслюк Даниил,ДМК-Пресс,1367,2580,На складе,47
Программирование на PHP в примерах и задачах,Васильев Алексей,Эксмо-Пресс:Российский компьютерный бестселлер,950,1301,На складе,27
Статистический анализ экспериментальных данных в пакетах MathCAD и Excel,Воскобойников Юрий Евгеньевич,Лань:Компьютеры и программное обеспечение,1358,2563,На складе,47
Инженерные расчеты. Книга-билингва. Учебное пособие,Очков Валерий Федорович и др.,Лань:Компьютеры и программное обеспечение,2221,4191,На складе,47
Системы искусственного интеллекта. Моделирование нейронных сетей в системе MATLAB. Лабораторный пр.,"Романов Петр Сергеевич, Романова Ирина Петровна",Лань:Компьютеры и программное обеспечение,864,1630,Ограничено,47
JavaScript. Обработка событий на примерах. Учебное пособие для СПО,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,1340,2528,Ограничено,47
Компьютерное моделирование автоматизации технологических процессов и производств. Практикум. СПО,Алексеев Владимир Анатольевич,Лань:Компьютеры и программное обеспечение,1229,2318,Ограничено,47
Ghidra. Полное руководство,"Игл Крис, Нэнс Кара",ДМК-Пресс,2599,4903,На складе,47
Изучаем WinUI 3.0,Эшкрафт Элвин,ДМК-Пресс,1367,2580,На складе,47
JavaScript для профессиональных веб-разработчиков,Фрисби Мэтт,Питер:Для профессионалов,3180,4077,На складе,22
Осваиваем Ethereum. Создание смарт-контрактов и децентрализованных приложений,"Антонопулос Андреас М., Вуд Гэвин",Бомбора:Мировой компьютерный бестселлер,2078,2846,На складе,27
SQL за 10 минут,Форта Бен,Вильямс,1491,2813,Ограничено,47
Облачные архитектуры. Разработка устойчивых и экономичных облачных приложений,Лащевски Том и др.,Питер:Библиотека программиста,1430,1833,На складе,22
Делай как в Google. Разработка программного обеспечения,Винтерс Титус и др.,Питер:Бестселлеры O`Reilly,2600,3333,На складе,22
Программируем на C# 8.0. Разработка приложений,Гриффитс Иэн,Питер:Бестселлеры O`Reilly,3757,4817,На складе,22
Изучаем квантовые вычисления на Python и Q#,"Кайзер Сара, Гранад Кристофер",ДМК-Пресс,1914,3611,На складе,47
"Системы автоматического управления: теория, применение, моделирование в MATLAB. Учебное пособие",Ощепков Александр Юрьевич,Лань:Учебники для вузов. Специальная литература,1421,2681,На складе,47
Коды с суммированием для систем технического диагностирования. В 2-х томах,Сапожников Валерий Владимирович и др.,Наука,1075,2029,На складе,47
Основы тестирования программного обеспечения. Учебное пособие для СПО,Старолетов Сергей Михайлович,Лань:Компьютеры и программное обеспечение,1293,2440,На складе,47
"Гид по Computer Science, расширенное издание",Спрингер Вильям,Питер:Библиотека программиста,1085,1391,На складе,22
Как работают компьютерные сети и интернет,Северанс Чарльз Р.,ДМК-Пресс,820,1547,На складе,47
Разработка конвейеров машинного обучения. Автоматизация жизненных циклов модели с помощью TensorFlow,"Ханнес Хапке, Нельсон Кэтрин",ДМК-Пресс,1367,2580,На складе,47
"SQL для хранения, обработки и анализа данных","Туманов Владимир Евгеньевич, Гайфуллин Булат Накиевич",Солон-пресс:Библиотека студента,545,1028,На складе,47
"Безопасность веб-приложений. Разведка, защита, нападение",Хоффман Эндрю,Питер:Бестселлеры O`Reilly,2309,2960,На складе,22
Распределенные данные. Алгоритмы работы современных систем хранения информации,Петров Алекс,Питер:Бестселлеры O`Reilly,2501,3206,На складе,22
Безопасно by Design,Берг Джонсон Дэн и др.,Питер:Библиотека программиста,2026,2598,На складе,22
"Разработка на JavaScript. Построение кроссплатформенных приложений с помощью GraphQL, React",Скотт Адам Д.,Питер:Бестселлеры O`Reilly,2201,2822,На складе,22
Пакет прикладных программ. Учебное пособие,Шитов Виктор Николаевич,ИНФРА-М:Среднее профессиональное образование,1717,3240,На складе,47
Программирование в САПР. Пространственное моделирование колонного аппарата в среде Autodesk Inventor,Лянг Виктор Федорович,ИНФРА-М:Высшее образование. Бакалавриат,1361,2567,На складе,47
Искусство тестирования на проникновение в сеть,Дэвис Ройс,ДМК-Пресс,1367,2580,На складе,47
Построение пользовательских интерфейсов,Малышев Кирилл Викторович,ДМК-Пресс,1230,2321,На складе,47
Data Science для карьериста,"Нолис Жаклин, Робинсон Эмили",Питер:Библиотека программиста,2251,2886,На складе,22
"Экстремальный Cи. Параллелизм, ООП и продвинутые возможности",Амини Камран,Питер:Для профессионалов,2844,3646,На складе,22
Алгоритмы обработки текста. 125 задач с решениями,Крошемор Максим и др.,ДМК-Пресс,1367,2580,На складе,47
Аналитика в Power BI с помощью R и Python,Уэйд Райан,ДМК-Пресс,1778,3354,На складе,47
Программирование. Введение в профессию. Том 2. Системы и сети,Столяров Андрей Викторович,ДМК-Пресс,2051,3869,На складе,47
Программирование. Введение в профессию. Том 3. Парадигмы,Столяров Андрей Викторович,ДМК-Пресс,2051,3869,На складе,47
"Python, например",Лейси Никола,Питер:Библиотека программиста,1142,1464,На складе,22
"Изучаем SQL. Генерация, выборка и обработка данных",Болье Алан,Диалектика,2749,5186,Ограничено,47
Знакомство с программированием на языке Processing,"Риас Кейси, Фрай Бен",ДМК-Пресс,1025,1934,На складе,47
Принятие решений и феномен неопределенности. Учебное пособие,Клименко Игорь Семенович,Лань:Компьютеры и программное обеспечение,1164,2196,Ограничено,47
VHDL. Справочное пособие по основам языка,Бабак В. П. и др.,ДМК-Пресс:Программируемые системы,683,1289,На складе,47
Алгоритмы и программы. Язык С++. Учебное пособие,"Конова Елена Александровна, Поллак Галина Андреевна",Лань:Учебники для вузов. Специальная литература,1531,2889,Ограничено,47
Программирование в среде Delphi. Создание проектов. Учебное пособие,Саблукова Наталья Геннадьевна,Лань:Учебники для вузов. Специальная литература,246,464,Ограничено,47
Основы алгоритмизации и программирования на языке Microsoft Visual Basic. Учебное пособие,Гуриков Сергей Ростиславович,ИНФРА-М:Среднее профессиональное образование,2734,5159,На складе,47
MATLAB 6.5 SP1/7/7 SP1/7 SP2 + Simulink 5/6. Инструменты искусственного интеллекта и биоинформатики,"Дьяконов Владимир Павлович, Круглов Владимир Васильевич",Солон-пресс:Библиотека профессионала,1217,2297,На складе,47
Компьютерный анализ и моделирование электрических цепей переменного тока в среде MATLAB,,Солон-пресс:Библиотека студента,264,498,На складе,47
Компьютерный анализ и моделирование электрических цепей переменного тока в среде MATLAB,,Солон-пресс:Библиотека студента,416,784,На складе,47
Компьютерный анализ и моделирование электрических цепей постоянного тока в среде MATLAB,,Солон-пресс:Библиотека студента,173,327,На складе,47
Компьютерный анализ и моделирование электрических цепей постоянного тока в среде MATLAB,,Солон-пресс:Библиотека студента,416,784,На складе,47
Компьютерный анализ четырехполюсников с помощью MATLAB,,Солон-пресс:Библиотека студента,585,1103,На складе,47
Компьютерный анализ четырехполюсников с помощью MATLAB,,Солон-пресс:Библиотека студента,232,438,Ограничено,47
Компьютерный спектральный анализ сигналов с помощью MATLAB,,Солон-пресс:Библиотека студента,487,918,На складе,47
Компьютерный спектральный анализ сигналов с помощью MATLAB,,Солон-пресс:Библиотека студента,219,414,На складе,47
Глубокое обучение в биологии и медицине,Рамсундар Бхарат и др.,ДМК-Пресс,957,1806,Ограничено,47
"Современный язык Java. Лямбда-выражения, потоки и функциональное программирование",Урма Рауль-Габриэль и др.,Питер:Для профессионалов,2101,2693,На складе,22
Программирование на языке высокого уровня. Программирование на языке Object Pascal. Учебное пособие,Немцова Тамара Игоревна и др.,Форум:Высшее образование: Бакалавриат,2322,4381,На складе,47
Математическое программирование. Учебное пособие,Ржевский Сергей Владимирович,Лань:Учебники для вузов. Специальная литература,2009,3791,Ограничено,47
Практика нейросетевого моделирования. Учебное пособие,"Хливненко Любовь Владимировна, Пятакович Феликс Андреевич",Лань:Учебники для вузов. Специальная литература,1318,2487,Ограничено,47
Python и анализ данных,Маккини Уэс,ДМК-Пресс,1845,3482,На складе,47
Алгоритмы эволюционной оптимизации,Саймон Дэн,ДМК-Пресс,2734,5159,На складе,47
"Прикладные задачи оптимизации. Модели, методы, алгоритмы",Струченков Валерий Иванович,Солон-пресс:Библиотека профессионала,616,1163,На складе,47
Машинный интеллект. Очерки по теории машинного обучения и искусственного интеллекта,Шумский Сергей Александрович,РИОР:Наука и практика,1786,3370,На складе,47
C#. Программирование 2D и 3D векторной графики (+CD),"Тюкачев Николай Аркадьевич, Хлебостроев Виктор Григорьевич",Лань:Учебники для вузов. Специальная литература,1464,2762,На складе,47
Клиентские технологии веб-дизайна. HTML5 и CSS3. Учебное пособие,Диков Андрей Валентинович,Лань:Учебники для вузов. Специальная литература,1062,2003,На складе,47
Технология разработки программного обеспечения. Учебное пособие,Зубкова Татьяна Михайловна,Лань:Учебники для вузов. Специальная литература,1676,3162,На складе,47
C++ за 21 день,Рао Сиддхартха,Диалектика,3481,6567,На складе,47
Рефакторинг с использованием шаблонов,Кериевски Джошуа,Диалектика,2020,3811,Ограничено,47
Docker на практике,"Миллан Иан, Сейерс Эйдан Хобсон",ДМК-Пресс,1914,3611,На складе,47
Swift подробно,Чейрд Инт Вейн,ДМК-Пресс,1914,3611,На складе,47
Java. Справочник разработчика,"Эванс Бенджамин, Флэнаган Дэвид",Вильямс,2749,5186,На складе,47
Компьютерное моделирование полупроводниковых систем в MatLab 6.0. Учебное пособие,Герман-Галкин Сергей Германович,Корона-Принт:Учебное пособие,342,645,На складе,47
Идиомы и паттерны проектирования в современном С++,Пикус Федор Г.,ДМК-Пресс,1504,2837,На складе,47
Основы тестирования и верификации программного обеспечения,Старолетов Сергей Михайлович,Лань:Учебники для вузов. Специальная литература,1843,3477,На складе,47
Изучаем Python. Том 1,Лутц Марк,Диалектика,3776,7125,Ограничено,47
Рефакторинг кода на JavaScript. Улучшение проекта существующего кода,Фаулер Мартин,Вильямс,4122,7778,На складе,47
Язык программирования Python: практикум. Учебное пособие,Жуков Роман Александрович,ИНФРА-М:Среднее профессиональное образование,1127,2126,На складе,47
Машинное обучение и безопасность. Защита систем с помощью данных и алгоритмов,"Чио Кларенс, Фримэн Дэвид",ДМК-Пресс,1299,2450,На складе,47
Разработка интеллектуальных систем. Введение в технологию машинного обучения,Хултен Джефф,ДМК-Пресс,1230,2321,На складе,47
Теория вероятностей и математическая статистика в среде MATLAB. Учебное пособие,Алибеков Игорь Юсупович,Лань:Учебники для вузов. Специальная литература,1026,1936,Ограничено,47
"PHP: объекты, шаблоны и методики программирования",Зандстра Мэтт,Вильямс,1988,3750,На складе,47
Экстремальное программирование. Разработка через тестирование,Бек Кент,Питер:Библиотека программиста,1104,1416,На складе,22
Объектно-ориентированное программирование с примерами на C#. Учебное пособие,Хорев Павел Борисович,Форум:Среднее профессиональное образование,1292,2437,На складе,47
Применение пакета MATLAB для анализа резонансных явлений в электрических цепях. Учебно-мет. пособие,,Солон-пресс:Библиотека студента,264,498,На складе,47
Применение пакета MATLAB для анализа резонансных явлений в электрических цепях. Учебно-мет. пособие,,Солон-пресс:Библиотека студента,559,1055,На складе,47
Программирование. Сборник задач. Учебное пособие,Архипов Олег Григорьевич и др.,Лань:Учебники для вузов. Специальная литература,1005,1896,На складе,47
Python. Книга Рецептов,"Бизли Дэвид, Джонс Брайан К.",ДМК-Пресс,2187,4127,На складе,47
Глубокое обучение с подкреплением на Python. OpenAI Gym и TensorFlow для профи,Равичандиран Судхарсан,Питер:Библиотека программиста,1357,1740,На складе,22
Грокаем глубокое обучение,Траск Эндрю,Питер:Библиотека программиста,1099,1409,На складе,22
Практика реактивного программирования в SPRING 5,"Докука Олег, Лозинский Игорь",ДМК-Пресс,2051,3869,На складе,47
Как программировать на С,"Дейтел Харви, Дейтел Пол Дж.",Бином,1075,2028,На складе,47
Нейросетевые методы в обработке естественного языка,Гольдберг Йоав,ДМК-Пресс,1640,3095,На складе,47
Предиктивное моделирование на практике,"Кун Макс, Джонсон Кьелл",Питер:Для профессионалов,2501,3206,На складе,22
Микросервисы. Паттерны разработки и рефакторинга,Ричардсон Крис,Питер:Библиотека программиста,1949,2499,На складе,22
Выразительный JavaScript. Современное веб-программирование,Хавербеке Марейн,Питер:Для профессионалов,2015,2583,На складе,22
"Системы счисления, алгоритмизация и программирование. Учебное пособие",Игнашева Елена Петровна,ИНФРА-М:Военное образование,1127,2126,Ограничено,47
Объектно-ориентированное программирование. Учебник,Барков Игорь Александрович,Лань:Учебники для вузов. Специальная литература,3126,5898,На складе,47
Практическое введение в программную инженерию. Учебное пособие,Волк Владимир Константинович,Лань:Учебники для вузов. Специальная литература,911,1719,Ограничено,47
Проектирование цифровых устройств на ПЛИС. Учебное пособие,Ушенина Инна Владимировна,Лань:Учебники для вузов. Специальная литература,1518,2865,Ограничено,47
Введение в технологии контейнеров и Kubernetes,Маркелов Андрей Александрович,ДМК-Пресс,820,1547,На складе,47
HTML5 и CSS3 для чайников,"Титтел Эд, Минник Крис","Диалектика:Для ""чайников""",1649,3112,Ограничено,47
C# для чайников,Мюллер Джон Пол и др.,"Диалектика:Для ""чайников""",2107,3976,На складе,47
Глубокое обучение. Готовые решения,Осинга Давид,Диалектика,734,1384,Ограничено,47
Изучаем TypeScript 3,Розенталс Натан,ДМК-Пресс,1914,3611,На складе,47
Введение в веб-разработку на языке JavaScript. Учебное пособие,Государев Илья Борисович,Лань:Учебники для вузов. Специальная литература,1145,2160,Ограничено,47
Программирование компьютерной графики,Боресков Алексей Викторович,ДМК-Пресс,1162,2192,На складе,47
Высокопроизводительный код на платформе .NET,Уотсон Бен,Питер:Для профессионалов,1977,2534,На складе,22
Совершенный алгоритм. Графовые алгоритмы и структуры данных,Рафгарден Тим,Питер:Библиотека программиста,1258,1613,На складе,22
{Вы не знаете JS} Асинхронная обработка и оптимизация,Симпсон Кайл,Питер:Бестселлеры O`Reilly,1212,1554,На складе,22
{Вы не знаете JS} Замыкания и объекты,Симпсон Кайл,Питер:Бестселлеры O`Reilly,1212,1554,На складе,22
{Вы не знаете JS} Типы и грамматические конструкции,Симпсон Кайл,Питер:Бестселлеры O`Reilly,1101,1412,На складе,22
Основы теории вейвлетов. Вейвлеты в Matlab,Смоленцев Николай Константинович,ДМК-Пресс:Все о вейвлетах,1367,2580,На складе,47
Python для чайников,Мюллер Джон Пол,"Диалектика:Для ""чайников""",1789,3375,На складе,47
Изучение сложных систем с помощью Python,Дауни Аллен Б.,ДМК-Пресс,751,1417,На складе,47
Вероятностное программирование на Python. Байесовский вывод и алгоритмы,Дэвидсон-Пайлон Кэмерон,Питер:Библиотека программиста,1763,2260,На складе,22
JavaScript для чайников,"Минник Крис, Холланд Ева","Диалектика:Для ""чайников""",1374,2592,На складе,47
Легкий способ выучить Python 3,Шоу Зед А.,Бомбора:Мировой компьютерный бестселлер,856,1172,На складе,27
Jenkins 2. Приступаем к работе. Создайте свой конвейер развертывания для автоматизации следующего п.,Ластер Брент,ДМК-Пресс,1914,3611,На складе,47
Реактивное программирование на С++. Проектирование параллельных и асинхронных приложений с использов,"Пай Прасид, Абрахам Питер",ДМК-Пресс,1230,2321,На складе,47
Изображение квантовых процессов. Начальный курс квантовой теории и рассуждений на диаграммах,"Коке Боб, Киссинждер Алекс",ДМК-Пресс,2734,5159,На складе,47
Unreal Engine VR для разработчиков,Маккефри Митч,Бомбора:Мировой компьютерный бестселлер,1211,1659,На складе,27
Язык программирования Python. Практикум. Учебное пособие,Жуков Роман Александрович,ИНФРА-М:Высшее образование. Бакалавриат,1085,2048,Ограничено,47
Django 2 в примерах,Меле Антонио,ДМК-Пресс,1367,2580,На складе,47
Глубокое обучение без математики. Том 1. Основы,Гласснер Эндрю,ДМК-Пресс,2325,4386,На складе,47
Программирование в среде Lazarus. Учебное пособие,Гуриков Сергей Ростиславович,Форум:Среднее профессиональное образование,2150,4057,На складе,47
Введение в программную инженерию. Учебник,Антипов Владимир Анатольевич и др.,ИНФРА-М,1552,2929,На складе,47
Программирование и основы алгоритмизации.Теоретические основы и примеры реализации численных методов,"Затонский Андрей Владимирович, Бильфельд Николай Валентинович",РИОР:Высшее образование,790,1491,Ограничено,47
Программное обеспечение компьютерных сетей и web-серверов. Учебное пособие,Лисьев Григорий Авенирович и др.,ИНФРА-М:Среднее профессиональное образование,687,1296,На складе,47
Технологии параллельного программирования. Учебное пособие,"Лупин Сергей Андреевич, Посыпкин Михаил Анатольевич",Форум:Высшее образование,969,1828,На складе,47
Глубокое обучение и TensorFlow для профессионалов. Математический подход к построению систем,Паттанаяк Сантану,Вильямс,2107,3976,На складе,47
Введение в анализ алгоритмов,Солтис Майкл,ДМК-Пресс,1230,2321,На складе,47
"Наш код. Ремесло, профессия, искусство",Бугаенко Егор,Питер:Библиотека программиста,957,1227,Ограничено,22
Практикум по решению задач на ЭВМ в среде Delphi. Учебное пособие,"Бунаков Павел Юрьевич, Лопатин А. К.",Форум:Среднее профессиональное образование,1745,3292,На складе,47
Анализ вредоносных программ,Монаппа К. А.,ДМК-Пресс,1367,2580,На складе,47
Java. Библиотека профессионала. Том 1. Основы,Хорстманн Кей С.,Диалектика,3776,7125,На складе,47
JavaScript. Карманный справочник,Флэнаган Дэвид,Диалектика,1093,2063,Ограничено,47
Применение UML 2.0 и шаблонов проектирования,Ларман Крэг,Диалектика,5267,9938,На складе,47
Программирование на Javascript для чайников,"Минник Крис, Холланд Ева","Диалектика:Для ""чайников""",916,1728,На складе,47
Язык программирования C++. Краткий курс,Страуструп Бьярне,Диалектика,1515,2858,На складе,47
Численные методы и программирование. Учебное пособие,Колдаев Виктор Дмитриевич,Форум:Среднее профессиональное образование,1580,2981,На складе,47
Kafka Streams в действии. Приложения и микросервисы для работы в реальном времени,Беджек Билл,Питер:Для профессионалов,2058,2638,На складе,22
Микросервисы и контейнеры Docker,Кочер Парминдер Сингх,ДМК-Пресс,1230,2321,На складе,47
Биометрическая защита. Обзор технологии,Суомалайнен Антти,ДМК-Пресс,219,413,На складе,47
Легкий способ выучить Java,Пейн Брайсон,Бомбора:Мировой компьютерный бестселлер,1037,1421,На складе,27
Программирование в Erlang,"Томпсон Саймон, Чезарини Франческо",ДМК-Пресс:Функциональное программирование,957,1806,На складе,47
Искусство программирования. Том 2. Получисленные алгоритмы,Кнут Дональд Эрвин,Диалектика,4472,8438,На складе,47
Искусственный интеллект для чайников,"Мюллер Джон Пол, Массарон Лука","Диалектика:Для ""чайников""",1374,2592,Ограничено,47
GraphQL. Язык запросов для современных веб-приложений,"Бэнкс Алекс, Порселло Ева",Питер,1044,1338,На складе,22
Компьютерное зрение. Теория и алгоритмы,Клетте Рейнхард,ДМК-Пресс,2325,4386,На складе,47
Java. Оптимизация программ. Практические методы повышения производительности приложений в JVM,Эванс Бенджамин и др.,Диалектика,3776,7125,На складе,47
CSS. Полный справочник. Визуальное форматирование веб-страниц,"Мейер Эрик, Уэйл Эстель",Диалектика,4854,9159,На складе,47
Искусство программирования на R. Погружение в большие данные,Мэтлофф Норман,Питер:Библиотека программиста,1370,1757,На складе,22
Базовые средства программирования на Visual Basic в среде VisualStudio Net. Практикум. Учебное пособ,Шакин Виктор Николаевич,Форум:Среднее профессиональное образование,1498,2826,Ограничено,47
Алгоритмизация и программирование. Практикум. Учебное пособие,Андрианова Анастасия Александровна и др.,Лань:Учебники для вузов. Специальная литература,1217,2297,На складе,47
Структуры и алгоритмы обработки данных. Линейные структуры. Учебное пособие,Апанасевич Сергей Александрович,Лань:Учебники для вузов. Специальная литература,949,1791,На складе,47
Самоучитель игры на Паскале. ABC и немного Турбо,Комлев Николай Юрьевич,Солон-пресс:Библиотека студента,704,1083,На складе,35
Unity и C#. Геймдев от идеи до реализации,Бонд Джереми Гибсон,Питер:Для профессионалов,2956,3790,На складе,22
PostgreSQL 11. Мастерство разработки,Шениг Ганс-Юрген,ДМК-Пресс,1367,2580,На складе,47
Распределенные системы. Паттерны проектирования,Бернс Брендан,Питер:Бестселлеры O`Reilly,979,1255,Ограничено,22
Django 2.1. Практика создания веб-сайтов на Python,Дронов Владимир Александрович,BHV:Профессиональное программирование,881,1662,Ограничено,47
Разработка АСУТП в среде WinCC. Учебное пособие,"Иванов Виктор Эдуардович, Чье Ен Ун",Инфра-Инженерия,1340,2528,На складе,47
Принципы разработки программных пакетов. Проектирование повторно используемых компонентов,Нобак Маттиас,ДМК-Пресс,1230,2321,На складе,47
Машинное обучение без лишних слов,Бурков Андрей,Питер:Библиотека программиста,1275,1635,На складе,22
Легкий способ выучить Python 3 еще глубже,Шоу Зед А.,Эксмо-Пресс:Мировой компьютерный бестселлер (обложка),856,1172,На складе,27
Практикум по численным методам в вычислительных средах matlab и mathcad. Учебное пособие,"Бастрон Алевтина Алексеевна, Охапкина Елена Павловна",РГГУ,377,712,На складе,47
